id,url,title,article,tags,posted_by,added_time
127650934,https://tech.slashdot.org/story/20/03/22/1659206/how-uber-and-lyft-drivers-handle-the-risk-of-coronavirus-infections,How Uber and Lyft Drivers Handle the Risk of Coronavirus Infections,"""Thousands of full-time rideshare drivers are still out on the streets trying to carve out a living,"" notes The Hustle, interviewing more than 50 full-time rideshare drivers facing a difficult choice: ""Stay home and sacrifice a livelihood, or keep driving in a depressed market and risk contracting the virus."" As independent contractors, rideshare drivers don't receive sick leave, unemployment insurance, or the many other benefits enjoyed by W-2 employees. During a pandemic, this has proven to be especially problematic... [Uber and Lyft are now offering 14 days of paid sick leave, but only to drivers who have contracted COVID-19 or are quarantined by a public health authority] Deemed ""essential"" workers, Uber and Lyft drivers have been encouraged to continue business as usual. But the current state of affairs has polarized drivers: In a survey of nearly 400 full-time Uber and Lyft drivers The Hustle conducted last week, 57% said they will continue to work at the peril of their health, while 43% have decided to stay home and sacrifice their sole source of income. Many drivers told us that, while aware of the inherent exposure risks in carting strangers around in an enclosed metal box all day, they have no choice but to work... ""I have a 6-month-old daughter, a family, and apartment rent on my head. I have bills to pay. I've been making about $40 a day since last Monday..."" ""They are vectors for this disease,"" Veena Dubal, a professor of law at U.C. Hastings, says of the drivers. ""And they have no training in health and safety."" In early March, Uber and Lyft pledged to do their best to provide drivers with basic sanitation products like hand sanitizer and wipes. But the companies have struggled to find supplies during a global shortage and have since closed down the driver hubs where they were meant to be dispensed. (Uber and Lyft told us they are actively working to change this.) Many drivers we spoke with have turned to fellow drivers for help, using WhatsApp groups to swap Lysol cans, gloves, and masks. With more potential passengers staying home, the drivers' real earnings are now averaging around $5.50 an hour. (One Uber driver, who rents his car, tells the site that ""I'm not even breaking even."") Yet they're still braving the risks. One New York City driver admits ""I've literally been driving people to the hospital. I had one guy get into my car who was hacking for 10 minutes straight. I pulled over and cleaned my car for 20 minutes after.""","business, transportation",EditorDavid,2020-03-22 13:34:00
127973506,https://science.slashdot.org/story/20/03/25/2255226/massive-us-coronavirus-stimulus-includes-research-dollars-some-aid-to-universities,"Massive US Coronavirus Stimulus Includes Research Dollars, Some Aid To Universities","sciencehabit shares a report from Science Magazine: The $2 trillion stimulus package that the U.S. Senate is working to approve today is aimed at helping the country cope with the massive impact of the coronavirus pandemic. But it also includes at least $1.25 billion for federal research agencies to support scientists trying to better understand coronavirus disease 2019 (COVID-19). In addition, it extends a financial hand to universities that have shut down because of the pandemic, some of which could go to support research that has been disrupted. Details of the legislation have yet to emerge after Republican and Democratic leaders in Congress worked out their differences in negotiations that ran into the early morning. But a 22-page summary (PDF) released by the Senate Appropriations Committee this morning contains these highlights: - The National Institutes of Health would receive $945 million for ""vaccine, therapeutic, and diagnostic research"" on COVID-19 as well as on ""the underlying risks to cardiovascular and pulmonary conditions."" - The National Science Foundation would receive $76 million to supplement an ongoing program that allows scientists to jump into the field for pilot studies on all manner of natural disasters. - The Department of Energy's Office of Science would get $99.5 million to cover the additional costs of operating user facilities at its national laboratories, including support for equipment and staff. - The U.S. Forest Service would get $3 million to ""reestablish experiments impacted by travel restrictions"" stemming from the pandemic, including an ongoing forest inventory. In addition, three research agencies would receive a total of $86 million ""to support continuity of operations"" affected by COVID-19. NASA would receive $60 million for the costs of rescheduling scientific missions, the National Oceanic and Atmospheric Administration would get $20 million to supplement ""life and property related services"" within its National Weather Service, and the National Institute of Standards and Technology would receive $6 million to support ""research and measurement science"" aimed at developing better diagnostics and testing of the coronavirus.","health, money, government",BeauHD,2020-03-25 22:02:00
127972034,https://news.slashdot.org/story/20/03/25/2232242/donotpays-new-service-will-try-to-help-you-get-bill-extensions-due-to-coronavirus,DoNotPay's New Service Will Try To Help You Get Bill Extensions Due To Coronavirus,"DoNotPay is ready to help you out if you need to delay your rent, credit card, or utility bill payments as a result of the coronavirus pandemic. The company, known for its legal aid chatbot, is launching a new service that requests waivers and payment extensions from companies and landlords. The Verge reports: The new product allows the service to identify any bills such as utilities and rent that are eligible for an extension or a late fee waiver. DoNotPay will then reach out to the company to make a ""compassionate and polite request."" If the request is denied, the service will send out a second letter citing relevant local and state laws. DoNotPay says it will use the ""full force of the local and state laws"" for states with no related coronavirus laws or orders in effect. Right now, this service is only available in the US, but DoNotPay founder Joshua Browder told The Verge that the company is looking to bring the service to other countries, such as the UK. When it comes to credit card bills, Browder told The Verge that extensions or waivers for these matters are a ""negotiation process."" Some companies, such as Apple, are allowing card holders to skip their March payment, but Browder said a majority of businesses are treating business ""as usual,"" requesting customers pay their statements on time with no extensions or waivers.","business, legal, money",BeauHD,2020-03-25 21:25:00
127967844,https://news.slashdot.org/story/20/03/25/2130241/covid-19-pushes-up-internet-use-70-percent-streaming-more-than-12-percent-first-figures-reveal,"COVID-19 Pushes Up Internet Use 70 Percent, Streaming More Than 12 Percent, First Figures Reveal","An anonymous reader quotes a report from Forbes: The first internet streaming and usage figures are coming in as the coronavirus pandemic places a quarter of the world's population under lockdown. As millions of people go online for entertainment and more, total internet hits have surged by between 50% and 70%, according to preliminary statistics. Streaming has also jumped by at least 12%, estimates show. [Maria Rua Aguete of Omdia, the tech research arm of Informa Tech] said the annual figures are revealing: ""Ecommerce will be the other sector that will see a revenue boost as a result of the pandemic, adding $175 billion in revenue in 2020, which represents a 5% increase."" Omdia predicts $11 billion losses for the movie industry with a 25% decline and a 15% drop in TV advertising, especially for ads promoting events such as concerts that can no longer take place. The surge in demand comes coupled with a warning from the company that paid TV advertising may decline by 15%. Omdia also predicted that industry recovery will start in 18 to 24 months. While official figures from Google's YouTube and other internet giants are awaited, Omdia's figures accord with other analysts. ""Broadband providers are thus far experiencing a traffic surge between 30% and 50% across their mobile and fixed networks,"" said Alfonso Marone, who is head of media at KPMG U.K.: ""Where self-isolation policies are at their peak in Europe, the spike in internet traffic has reached as high as 70%, which is indicative of what the traffic surge could look like in other regions in just two to three weeks' time. The most bandwidth-hungry are the online entertainment applications, especially those in high-definition like 4K movies and TV. For broadband providers, this spike may be seen as more a source of headache.""","media, internet, communications",BeauHD,2020-03-25 18:02:00
127950624,https://news.slashdot.org/story/20/03/25/1720259/uk-cash-usage-halves-within-days-as-shops-close-due-to-coronavirus,UK Cash Usage Halves Within Days as Shops Close Due To Coronavirus,"Cash usage in Britain has halved in the past few days, according to Link, which operates the UK's biggest network of ATMs. From a report: The closure of shops, a shift to contactless payments, plus concerns that notes may harbour the virus has contributed to the dramatic decline. Link said the ATM system was operating at its normal standard and that it was working closely with banks and regulators to ensure cash continued to be available. ""Consumers' ATM and cash use has fallen significantly, by around 50%, over the past few days and this is likely to continue as people move to follow the prime minister's instructions to stay at home,"" it said. Some shops are refusing to accept cash during the crisis, demanding that customers pay by card only. Gareth Shaw, head of money at Which?, said: ""We are concerned this will leave many vulnerable people unable to pay for the basics they need. Both the government and retailers need to find a way to ensure that the millions of people who rely on cash, and may not have a bank card, can still pay for essentials during this difficult time.""","money, uk, cash",msmash,2020-03-25 17:24:00
127947376,https://science.slashdot.org/story/20/03/25/1635224/nuclear-scientists-developing-faster-cheaper-covid-19-test,"Nuclear Scientists Developing Faster, Cheaper Covid-19 Test","Nuclear scientists in Austria are closing in on new coronavirus testing kits that could dramatically lower the cost and time it takes to diagnose people for the disease. From a report: With Covid-19 tests in short supply in many places, some individuals have turned to private laboratories that can genetically detect the pathogen. That process, called reverse transcription-polymerase chain reaction, or RT-PCR, can cost as much as $400 in some private facilities. But the International Atomic Energy Agency expects it can produce Covid-19 tests costing as little as 10 euros ($10.83) that yield a diagnosis within hours, according to an spokesperson, who said the IAEA kits are close to being shipped. While the IAEA's individual tests may top out at 15 euros a person, countries will still need laboratories to process the results. Setting up a new facility from scratch can cost as much as 100,000 euros, according to the agency. The IAEA's lab outside Vienna has previously developed kits testing for Ebola, Zika and African Swine Fever. Fourteen countries in Africa, Asia and Latin America asked the agency's scientists earlier this month to help them ramp up testing. The effort drew an extra $5 million of funding on Tuesday from the U.S. State Department.","covid19, medicine, coronavirus",msmash,2020-03-25 15:23:00
127945208,https://science.slashdot.org/story/20/03/25/1619236/cdc-says-coronavirus-rna-found-in-princess-cruise-ship-cabins-up-to-17-days-after-passengers-left,CDC Says Coronavirus RNA Found in Princess Cruise Ship Cabins Up To 17 Days After Passengers Left,"Coronavirus RNA survived for up to 17 days aboard the Diamond Princess cruise ship, lasting far longer on surfaces than previous research has shown, according to new data published this week by the Centers for Disease Control and Prevention. From a report: The study examined the Japanese and U.S. government efforts to contain the COVID-19 outbreaks on the Carnival-owned Diamond Princess ship in Japan and the Grand Princess ship in California. Passengers and crew on both ships were quarantined on board after previous guests, who didn't have any symptoms while aboard each of the ships, tested positive for COVID-19 after landing ashore. The RNA, the genetic material of the virus that causes COVID-19, ""was identified on a variety of surfaces in cabins of both symptomatic and asymptomatic infected passengers up to 17 days after cabins were vacated on the Diamond Princess but before disinfection procedures had been conducted,"" the researchers wrote, adding that the finding doesn't necessarily mean the virus spread by surface. The CDC said researchers couldn't ""determine whether transmission occurred from contaminated surfaces,"" and that further study of COVID-19's spread through touching surfaces on cruise ships was warranted.","health, science, cdc",msmash,2020-03-25 12:41:00
127943972,https://news.slashdot.org/story/20/03/25/1522250/epa-plans-to-waive-some-compliance-requirements-amid-coronavirus-crisis,EPA Plans To Waive Some Compliance Requirements Amid Coronavirus Crisis,"The Environmental Protection Agency is planning to waive compliance requirements and deadlines for a range of industries, including oil refiners, water utilities and sewage plants, as it seeks to help businesses affected by the coronavirus pandemic, according to Trump administration officials. From a report: The biggest change likely will be to waive or postpone coming deadlines to switch to cleaner-burning summer-grade gasoline, according to administration officials and a business lobbyist. Several states have already issued waivers or said they won't enforce them, an analyst said. And many have asked EPA to step in to clarify nationally, according to one administration official. The EPA is preparing to act following an onslaught of requests from businesses and state regulators seeking help, according to the administration officials, who expect the decision to be announced this week. Any action is expected to be scrutinized by environmental groups concerned that the EPA and business groups will take advantage of the situation to skirt environmental regulations. Under President Trump, the EPA has moved to amend environmental policies that the White House views as overly harmful to business.","epa, usa, covid19",msmash,2020-03-25 11:22:00
127879200,https://tech.slashdot.org/story/20/03/25/0018224/hackers-hijack-routers-dns-to-spread-malicious-covid-19-apps,Hackers Hijack Routers' DNS To Spread Malicious COVID-19 Apps,"An anonymous reader quotes a report from Bleeping Computer: A new cyber attack is hijacking router's DNS settings so that web browsers display alerts for a fake COVID-19 information app from the World Health Organization that is the Oski information-stealing malware. For the past five days, people have been reporting their web browser would open on its own and display a message prompting them to download a 'COVID-19 Inform App' that was allegedly from the World Health Organization (WHO). After further research, it was determined that these alerts were being caused by an attack that changed the DNS servers configured on their home D-Link or Linksys routers to use DNS servers operated by the attackers. As most computers use the IP address and DNS information provided by their router, the malicious DNS servers were redirecting victims to malicious content under the attacker's control. ""If your browser is randomly opening to a page promoting a COVID-19 information app, then you need to login to your router and make sure you configure it to automatically receive its DNS servers from your ISP,"" the report says. It also recommends you set a strong password for your router and to disable remote administration. ""Finally, if you downloaded and installed the COVID-19 app, you should immediately perform a scan on your computer for malware. Once clean, you should change all of the passwords for sites whose credentials are saved in your browser and you should change the passwords for any site that you visited since being infected.""","dns, privacy, security",BeauHD,2020-03-25 09:00:00
127873574,https://science.slashdot.org/story/20/03/24/2251239/spacex-encounters-first-launch-delay-due-to-coronavirus,SpaceX Encounters First Launch Delay Due To Coronavirus,"On Tuesday, the Air Force's 45th Space Wing confirmed that the timing for SpaceX's upcoming SAOCOM launch, which was set to take off from Vandenberg Air Force Base in California on March 30 using a Falcon 9 rocket, has been put on ""indefinite"" hold due to the impact of the current coronavirus crisis. TechCrunch reports: Vandenberg has declared a public health emergency as of this past weekend, and while there are no confirmed cases of COVID-19 on the base thus far, the Air Force is limiting access to essential personnel, and providing only essential services, in addition to taking additional precautions to protect the safety of those who have to remain on site. The delay comes shortly after the company successfully launched 60 more of its Starlink satellites. The report notes that SpaceX still appears to be on track for its current mid-to-late May launch schedule for the first Commercial Crew mission with NASA.","airforce, military, nasa",BeauHD,2020-03-25 03:00:00
